text,category,sentiment,rawsentenceIdx
우리나라 최고의 호텔 중의 하나인데 전반적으로는 좋았고 아주 작은 것들이 아쉬웠습니다 한 가지 주차요원의 안내는 정말 많이 아쉬웠네요,체크,0,80
한번 더 점검해 보셔야 할 것 같습니다,체크,0,80
단점으로는 스크린 미러링으로 영화를 보려 했지만 객식 내 티비가 삼성 티비 2013년식이라 최신 핸드폰 8 이후 모델 으로는 미러링이 불가합니다,체크,0,82
혹시 하실 분들은 참고하세요,체크,0,82
룸 내부에 여기저기 상처가 ㅠㅠ 다른 곳에서는 위에 나열한 것들이 눈에 보이지 않았는 뎅 로비에서도 주차등록해줬다고 했지만 출차시 등록되어 있지 않음,체크,0,83
투숙했던 룸 넘버와 이름을 이야기해서 출차함 ㅠㅠ 이런 이야기 하는 것도,체크,0,83
수영장은 작지만 아이랑 놀기엔 괜찮았고 부대시설이 많진 않았지만 여름에 가면 바깥 수영장도 이용 가능하니 괜찮을 듯 합니다,체크,1,84
한 사람당 6만원씩 추가하고 이용해야 한다나 예약할 때 그런 내용 없었다고 컴플레인했음,체크,0,85
다음번 부턴 옵션사항 잘 확인하고 이용해달라고 여튼 이용은 해서 좋았지만 다시 아고다 페이지 확인해도 아무런 숙지사항이 없었네요,체크,0,85
다만 체크아웃 당일 오전 10시 즈음 느닷없이 화재 경보가 울려서 저와 와이프 모두 가운 만 입고 뛰쳐 나가는 일이 발생했습니다,체크,0,86
나가보니 직원 분이 너무 덤덤히 소방 점검 중이라고 하시더라구요 ㅠㅠ 소방점검이 야 당연히 하셔 야 되는 거니까 그렇다 쳐도 미리 공지라도 해주셨으면 좋을 뻔했습니다,체크,0,86
체크아웃 때 컴플레인을 하긴 했지만 그 때 놀란 가슴이 아직도 생생 하네요,체크,1,86
벨 도어 택시를 이용해서 신라호텔에 방문하였는데 짐 관련한 핸들링이 전혀 없었습니다,체크,0,89
핸드 캐리하는 가방 하나 였으나 부피가 큰 가방이었음에도 도움이 필요한지 묻는 멘트가 없었으며 택시 하차 시 체크인을 확인 하는 멘트가 없었습니다,체크,0,89
체크인 후 역시 짐 케어는 없었으며 객실 내의 안내를 받지 못해 아쉬웠습니다,체크,0,89
프런트 1층 리셉션에 방문하니 23층 라운지에서 체크인 가능하다는 안내를 받았습니다,체크,1,89
엘리베이터 위치를 함께 안내 해 주셨더라면 헤매지 않고 엘리베이서 탑승을 했을 겁니다,체크,0,89
또한 23층 체크인을 안내하며 짐에 대한 도움이 필요한지 한 번 더 물어보는 센스가 있었다면 좋았을 것 입니다,체크,0,89
또한 예약 시점부터 공기청정기를 요청하였는데 타 브랜드 경우 입 실 전에 셋팅이 되어 있던데 신라의 경우 입 실 후에 준비를 해 주어 아쉬웠습니다,체크,0,89
입실 후 라운지를 이용하기 위해 복도를 지나가는데 직원 2 3분이 고객 동선에 카트를 두고 물건을 정리하시는지 눈이 마주치고도 길을 비켜주시지 않았습니다,체크,0,89
심지어 간단한 목례도 없었을 뿐더러 복도를 막고 있는 것에 대한 어떠 한 양해의 멘트도 없었고 오히려 제가 양해를 구하고 나서야 지나 갈 수 있었습니다,체크,0,89
그리고 업그레이드 받았어요,체크,1,90
설 당일에 갔는데 사람이 너무 많은 게 아쉬웠어요,체크,0,91
12개월 아기랑 쉬기 좋았어요,체크,1,92
눈오거나 비올 때 주차하고 호텔로 들어가기 애매 합니다,체크,0,97
수영장도 안 되요 초등생은 방에만 있거나 유료로 야외 수영장 가라고 하네요,체크,0,107
잘 확인했어야 하는 건데,체크,0,109
주차장이 다소 멀었고 발렛 비용이 비쌌지만 나머지는 모두 만족합니다,체크,0,115
야외 수영장인 어반 아일랜드는 불 포함되어 있는 줄 모르고 구매했다가 호텔에서 이용할 때 알아서 추가로 지불했네요 ㅠㅠ,체크,0,116
야외 수영장 가 실뷴들은 전화라 두 해보시 구 확인하시구 구매하세용,체크,1,116
수영장에 자쿠지 풀이 너무 좋았네요,체크,1,121
사람도 없었구요,체크,1,121
체크아웃 부탁했는데 다른 호텔처럼 재촉하지 않으시고 너무 편하게 쉬다가 왔습니다,체크,1,121
잘 자고 체크아웃했습니다,체크,1,135
호텔리어 분께서 1층 로비에서 일행 7명 사진 찍어주셨는데 구도와 비율 사진 장인이셨음,체크,1,137
주차장이 멀다는 단점 빼곤 다 좋아요,체크,0,140
토요일 투숙이라 그런지 체크인 할 때까지 30분 정도 기다렸습니다,체크,0,149
룸 업그레이드 해주어서 넓은 방에서 아주 잘 지내고 왔습니다,체크,1,152
풍선 잔여물들 체크아웃 시 말씀 드리려고 했으나 깜빡했네요,체크,0,161
명성에 걸 맞는 호텔 서비스 음식 교통 모든 게 부족할 것 없이 너무나 맘에 드는 호텔 아쉬운 점은 호텔 셔틀 운행 간격이 다소 길고 블라인드나 서랍 내부 옷장 내부 등 눈에 띄지 않는 부분의 청소 상태가 미흡 먼지 등 호텔 입구까지 걸어 다니기는 다소 불편,체크,0,162
예약이 많아 얼리 체크인은 불가했네요,체크,0,163
지나치게 분주하지 않아 좋았고 이렇게 배터지게 해주는 호텔도 처음이었던 듯 한 번 즘 묵어보기에 더할 나위 없이 좋았다,체크,1,165
발렛파킹이 유료인 줄 몰랐음 1박에 2 5만원이라니 ㅠ ㅠ,체크,0,181
아기랑 17갤 갓어요,체크,1,183
말이 필요 없네요,체크,1,189
다만 방안에 있는 커피 컵 주변에 사람 털이 떨어져 있어서 컵 사용하기 전에 컵을 다시 씻고 사용한 점이 불편하였다,체크,0,192
세심한 서비스 프론트 통화 시 예약자 명 응답 예약자 명 웰컴 안내문 등 다른 호텔에서 보지 못 했던 세심한 서비스,체크,1,201
아기 데리고 2박 있는 동안 불편함,체크,0,203
이유식 데우는 거 요청하면 룸 서비스처럼 가져다 주시고 아기 위주로 생각해주는 게 보여서 너무 감동받았어요,체크,1,203
서울에서 기 분낼 때 항상 찾게 되는 곳 ㅎㅎ이그제큐티브 룸 아니었더니 체크인 대기가 너무 많아서 별은 4개요,체크,1,215
사진도 먼저 찍어 드릴까요,체크,1,219
물어보시고 ㅠㅠ 돈이 부담되지만 또 가 고 싶을 정도에요,체크,1,219
안 되어 있는 룸이라 1인 10씩 내고서라도 사용할 생각이었어요,체크,0,221
2박이라 체크인 후 가서 내일 아침에 다시와서 입장이 가능하면 종일 사용이 가능한지 물어보니 결제하시면 하루 사용이 가능하다고 답변 받았고 그래서 다 음날 9시에 가서 물어보니 이번에는 말이 다르네요,체크,0,221
지금 들어가면 2시까지밖에 사용 못한다구요,체크,0,221
객실 상황 때문에 입장 못할 수도 있다는 건 알지만 말 바꾸는 게 너무 어이없네요,체크,0,221
신라 공식홈에서 하면 조식 추가 3만원입니다,체크,1,221
똑같이 아고다에서 예약한 다른 호텔은 풀이용이 가능한데,체크,0,222
제 실수이기도 한데,체크,0,222
분명 자세히 명시되지 않았던 것도 같네요,체크,0,222
암튼 신라는 패키지가 아니면 풀이용이 안 되는 걸 뒤늦게 알았네요,체크,1,222
발렛 미 이용 고객들은 주차장이 한정되어 있어서 불편할 것 같아요,체크,0,223
자리 날 때 까지 대기 해야 하더라구요,체크,0,223
아기 침대 이불은 선착순이라 제공 못 받은 고객은 아쉬울 것 같아요,체크,0,223
성수기 시즌 야외 수영장 1인 10만원 별도에 이 또한 돈낸다고 다 되는 거 아님 따로 예약 아침 조식은 몇 개월 사이 거의 두 배 가격으로 올라 너무 비쌈 투숙객 할인 없음,체크,0,225
신라호텔 이야 좋은 호텔인 거알지만 성수기 때 터무니없이 비싼 가격으로 야외 수영장 사용하지 못하고 실내 수영장에서 놀고 조식 추가하여 성인 2 아동2 45 50만원 씀 절대 이 가격 주곤 안감,체크,1,225
매끼니 걱정할 필요 없고,체크,1,249
다만 주차장이 좁아 주차타워에 주차 후 걸어가려면 약간 숨참 셔틀이 10분마다 있음,체크,0,260
가본 곳이라 주차장이 낯설었어요,체크,0,265
비도 오는데 걸어가야 하나 싶고 서비스 차량이 있는 걸 나중에 알았습니다,체크,0,265
주차장에서 근무하시는 분이 말씀해 주시면 참 좋았을 텐데 허둥지둥거렸네요,체크,0,265
저희 체크인하고 저랑 이야기하고 있는데 중국 관광객이 끼어 들어 문의하니 저에게 양해 없이 중국인과 이야기를 하더군요,체크,0,275
그 후 양해의 말 없이 체크인을 도와 주시 더군요,체크,0,275
작은 것 이지만 아쉬움이 있었습니다,체크,0,275
중간에 외장 하드가 안 읽혀서 문의 드렸는데 정말 열심히 해결해 주셔서 감동이었습니다,체크,1,276
방안에 충전기가 빈약한 것 말고는 다 좋았습니다,체크,0,280
시간 이 많이 지나긴 했는데 너무 좋았어요,체크,1,283
하루 종일 먹고 쉬고 했어요,체크,1,289
장점 주차타워부터 호텔 로비 앞까지 차량 서비스 제공 있는 줄 몰랐는데 짐 들고 걸어가려니까 차량을 불러주더라구 요 라운지 음식 퀄리티가 매우 좋으며 불편해 보이면 즉각 직원분이 오셔서 신경 써주는 세심한 서비스 단점 단점을 못 찾음,체크,1,326
서비스 안내 정보가 필요했고 면세점에 한국 토속적인 기념품도 있었으면 했다,체크,0,342
더 이상 좋은 호텔이 어디 있나 싶을 정도였습니다,체크,0,376
하지만 그 외 고객 응대는 솔직히 기대 이하라고 보시는 게 맞을 거 같습니다,체크,0,384
체크인하는데 한 시간 남짓 걸려서 식사를 하지 못하고 지방에서 올라온 가족들이 체크인 한 후 라운지에서 애프터눈 타임을 가 졌습니다,체크,0,384
이 때 저녁 식사까지 시간이 많이 남지 않아 간단히 배를 채우려 했고 동생이 성인 남성으로 덩치가 커서 양이 모자란 거 같아 샌드위치만 리필을 부탁드렸는데 제 개인적인 느낌인지 몰라도 싫어하시는 표정이 보였습니다,체크,0,384
제가 듣기로 흔쾌히 리필해주신다고 하셨는데 그게 그렇게 정색을 하고 알아봐야 하는 일인지 솔직히 기분이 무척 나빴습니다,체크,0,384
체크아웃할 때 여기서 묶고 있는 거랑 체크아웃하는 건 떠나는 물고기님이라서 그렇게 응대하시는지 몰라도 제가 렌트한 시간이 아직 남아 잠시 라운지에 앉아 있어도 되겠냐는 어머니에게 난색을 표하셨다고 하더라구요,체크,0,384
다른 분들은 체크아웃 후에도 식사를 하고 나왔다는 리뷰도 많이 봤는데 써드파티 통해서 예약하신 분들을 차별하는 건지 체크아웃했다고 내 쫓고 싶은 건지 자리 하나 내주기 힘든 라운지 접객 태도는 실망스럽기 그지 없었습니다,체크,0,384
방이 스위트룸이 불구한데도 냉장고가 무엇을 넣을 수 있을 만한 구조가 아니었고 지인들에게 선물하고 개인적으로 가져갈 다 쿠아즈를 다량으로 구매한 뒤 냉장 보관이 어려워 부티크에 맡겼었습니다,체크,0,384
그런데 렌트한 차량이 약속한 시간보다 30분이나 일찍 왔고 앞에 주차를 할 수 없다고 하셔서 제가 빵을 찾지 못하고 급하게 차를 인수 받으러 가면서 어머니께 구매한 빵을 찾아와 달라고 부탁했습니다,체크,0,384
생각하여 그냥 넘어갈려 했는데 한 참 뒤에 지방 본가에 도착해서 확인해보니 제가 구매한 제품의 냉장 제품은 싹 빼고 인수해주셨더라구요,체크,0,384
삿대질 받고 물건 못 받고 모욕만 받은 경험이었습니다,체크,0,384
전화해서 카드 취소로 진행하였지만 삿대질 받은 기 억덕에 딱히 유쾌하지 않았습니다,체크,0,384
코로나 시국에 매장에 많이 들일 수 없어 인원을 제한할 경우 찾는 물건은 따로 섹션 을 만들어 불편이 없도록 진행해야 하는 거 아닌가요,체크,0,384
불편하고 불친절하고 물건도 못 받은 희안 한 경험이었습니다,체크,0,384
턱없이 모자란 주차공간과 주차장이 너무 먼 점 정해진 메뉴얼대로 딱히 서비스 없는 응대 태도 불쾌한 서비스 태도로 일관하는 상전 패스트리 부티크 신라호텔은 제가 봤을 땐 가성비로 다녀와야 할 호텔 같습니다,체크,0,384
아 그리고 라운지 조식 말고 1층 파크뷰 조식 이용식 투숙객이 그 전날 자정 12시전에 예약하지 않으면 할인도 불가합니다,체크,0,384
이런 경우는 여 타 5 성급에서 볼 수 없어서 정보로 남깁니다,체크,0,384
우려스러운 곳 문제가 계속 나는데 덮는 듯 위험한 곳 전직 현직 도 상당히 놀라운 사람들이 업무와 부적합하게 채용되는 곳 이미지 덮기에만 몰두하고 더 큰 실수만 더 할 것 그 실무들은 우연히 않님 회사에 테러리스트급 안티가 특정 세력에 의하여 오랜 기간 열심히 배향되고 있음,체크,0,390
전혀 최근에 일이 않님 문화 처럼 자리 잡아가고 있는 듯 칭찬과 추천이 되려 낭패가 되는 우려스러움 직원이 주의 받고 개선의 여지로 될 수준이 않닌데 회사 차원에서 묵인 방관인 듯 그룹 사라는 게 신기함 항의보단 우려스러움 부적합 업종인데 전혀 모르는 듯 누굴 쓰고 있는지 전혀 모르는 듯 꾀 오래전부터,체크,0,390
말이 필요 없습니다,체크,1,400
요청 드린 사항도 모두 반영해주셨구요,체크,1,401
다만 주차장과 연결 되어 있지 않아 아쉬웠습니다,체크,1,403
프론트 직원은 밖에 눈이 엄청 오는데 면세점 옆에 가파른 내리막길을 내려가서 차를 주차하라고 했고 마침 그곳에 있던 안내 요원이 위험하다고 못 내려가 하여 사고를 면했습니다,체크,0,412
그런 폭설에 그런 안내를 했다는 것 자체가 이해가 가지 않습니다,체크,0,412
핸드폰 충전기가 비치되어 있는데 거의 안 되늗거나 마찬가지이며 주차장 또한 멀다,체크,0,415
체크인 시 담당자께서는 분명 저녁 식사 시간에 맞춰 룸 서비스를 시킬 수 있다고 하여 이른 시간에 미리 예약하려고 전화를 드렸습니다,체크,0,416
그리고 식사 30분 전에 다시 전화를 드렸더니 이번에는 또 두시간이 넘을 수 있다고 그러시더라구요,체크,0,416
그리고 다른 비대면 서비스 는 잘하면서 케이크픽업 줄은 거리두기가 있었나요,체크,0,416
무엇보다 미소와 친절로 맞아주는 직원 분들 넘 좋았습니다 라운지 이용 대기가 발생하면 객실에 전화로 알려 주셔서 편했어요,체크,1,418
라운지 이용 및 객실 상태와 손님 응대 조식 뭐 하나 빠질 것 없이 좋았음 이래서 신라호텔 신라호텔 하는 것 같음,체크,1,426
이그제큐티브 룸이라 라운지 체크인이었는데 하나도 숙지 안 된 직원들 얼리 체크인이라 두팀 밖에 없었는데도 우왕좌왕 체크인 전에 호텔 측과 전화 통화했었는데 게스트 보고 직접 예전 방문 날짜 통화 직원 이름 시간 직접 대라고 하는 곳 처음,체크,0,439
넷플렉스 연결 해달라고 내 선 통화로 아 이폰 이라고 요청했는데 직원 올라와서 다 연결해주곤 대뜸 아이폰은 안 된다고 그 야 밤에 왜 올라온 건지 라운지 자리 옮길까 해서 먹고 떠난 자리 기웃 거렸더니 직원 왈 여기 자리 맡아놨 눈데,체크,0,439
중 얼거림 이게 직원이 할 말인지 수영장은 부유물 둥둥 목욕탕임 이런 것들에 즉각 컴플했으나 더해 드릴게 없어요,체크,0,439
체크아웃 할 때 이런 사 항들 공유 하나도 안 되어 있고 12월 예약에 다시 뵙자고 아뇨 다 취소고 다시는 숙박 하지 않아요,체크,0,439
세시 조금 넘어서 체크인했는데 라운지 마감이라 하셨는데 사전에 1인 추가 문의했던지라 3인까지 라운지 이용할 수 있게 해주셨고 체크 이 대기해야 하니 미팅룸에서 편하게 대기 할 수 있게 해주셨어요,체크,1,443
실내 수영장 길이가 굉장히 길어서 딱 수영하기 좋고 사람 거의 없어서 좋았어요,체크,1,443
투숙객 하면서 식당가에서 저녁을 먹고 싶어도 예약을 않하면 안 되니 그게 참 아쉬워요,체크,0,444
밀 예약하지 않으면 불가능한 게 좀 불편합니다,체크,0,451
코나 방 배정과 스위트 룸의 소파 및 테이블 세팅 그리고 직원 분들의 친절함,체크,1,455
날씨가 추워서 그런지 방이 살짝 썰렁하긴 했네요,체크,0,468
주차가 끔찍했습니다,체크,0,470
현재 주차장 공사 중이라서 저 멀리 주차하고 호텔까지 6분 정도 언덕길 올라와야 합니다,체크,0,470
큰 짐 가방이 2 3개 정도 됐는데,체크,0,470
힐링하러 와서 짐가방을 끌며 클라이밍 해야 하나 싶었어요,체크,1,470
셔틀이 있다고는 해도 매우 번거롭고 불편했습니다,체크,0,470
주차장 공사 완료되기 전에는 절대 투숙 안 할 겁니다,체크,0,470
기념일이라고 레이트 체크아웃도 해주셨구요,체크,1,471
공기청정기 가습기 대여 부탁드렸는데 다 해주셨어요,체크,1,471
여유가 생긴다면 또 갈거에요,체크,1,471
수영장도 좋고 시설도 전반적으로 좋았는데 일행이 사용을 안할 타입들이면 일반 호텔을 가도 될 거 같아요,체크,1,472
사실상 비용 대비 제가 많이 사용을 못한 기분이라 홀로 머무는 것도 좋다고 생각합니다,체크,1,472
금액이 확실히 비싸서 그런지 직원분들 어느 하나 실수하지 않는 친절을 배 푸시고 야외 수영장이나 헬스장 골프장 역시 완벽했어요,체크,1,474
코로나로 식당도 예약 제 문 열지 않은 시설 대거 이럴 거면 다른 혜택이니 베네핏을 줘야 하는데 아무런 혜택도 없네요,체크,0,482
내부 수영장도 수영복만 빌릴 수 있어 수경 없이 사용하기가 좀 불편했어요,체크,0,484
직전에 워커힐도 갔었는데,체크,0,485
아무것도 안하고 방에만 있어도 행복한 시간이었어요,체크,1,489
코로나 때문에 걱정이 많았는데 이그제큐티브라서 정말 먹고 자고만 하려고 조심스럽게 다녀 왔습니다,체크,1,491
기존에 제공하는 방식과 차이는 있었지만 건강히 무사히 다녀온다는 거에 의의가 있어서 큰 불만은 없었습니다,체크,1,491
입구부터 대우 받는 느낌 받았구요,체크,1,493
코로나로 열 체크와 코드 확인을 하고 식사시를 제외하고 늘 마스크를 쓰고 다녔는데도 불편함을 못 느꼈어요,체크,1,493
신라호텔은 명실상부 최고입니다,체크,1,494
일단 발렛 안 되니 참고하시구요,체크,1,496
발렛되는 카드 있으면 꼭 챙기세요,체크,1,496
역시 호캉스는 본인이 얼마나 챙겨서 실 속 있게 보내느냐의 문제인 것 같아요,체크,0,498
다 만 주차장 공사 정말 발렛 아니면 정말 정말 불편 함니다 차라리 발렛 2만 5천원 발렛 하시길 권장 합니다 ㅎ,체크,0,500
써비스 품목 부족,체크,0,516
사우나까지 이용하고 4끼 다 챙겨 먹고 템퍼 프리미엄 베개며 어 메니티며 요구하는 대로 다 갖다 주셔서 너무 잘 쉬 다 왔어요,체크,1,517
신라호텔의 아쉬운 점을 굳이 꼽자면 투숙객들에게 식당을 이용할 수 있는 무언가가 있으면 합니다,체크,0,525
바디 필로우를 요청했는데 전 객실에서 바디 필로우를 요청하는 바람에 재고가 없다고 해서 여분의 배게를 서비스 받았는데 라운지에서 식사하다가 신라에서 전화가 오더군 요 재고가 생겼다고 해서 다시 전화 주신 거였어요,체크,0,532
그렇게 바디 필로우 얼음 등 요청사항도 잘 들어주시고 또 가고 싶네요,체크,1,532
하지만 주차가 힘들어요,체크,0,536
이번에도 입구 쪽 센쓰 등이 고장인지 꺼지질 않드라구 요 너무 늦게 들어가서 귀찬아서 그냥 자긴 했지만 이런 거 가끔 있어요,체크,0,539
룸 체인지 해주신 다 하지만 그런 거 딱 귀찬아하는 성격인지라 룸 배정 전에 꼼꼼하게 한 번 더 체크해 주면 좋겠습니다,체크,0,539
체크인 할 때 부터 매끄럽지 않았던 직원의 태도와 서비스카 이용하면서 장애인과 노약자를 위한 서비스라고 로비가는 내내 듣고 프론트에서 물어보니 필요한 손님을 위한 서비스라고 답변 받았습니다,체크,0,540
코로나 때문에 불안한 마음으로 갔지만 막상가니 안심이 되더라구요,체크,1,544
하기엔 일반 투숙객에게는 불편하더라구요,체크,0,544
그 부분만 조금 개선되었으면 좋겠습니다,체크,0,544
코로나로 불안정한 심리를 호텔의 안전적인 케어로 편히 쉬다 갑니다,체크,1,548
코로나 시국에 철저한 검역도,체크,1,559
코로나 19 사태로 불안한 때인데 입구에서부터 열 감지와 체온 측정이 이루어졌고 직원 모두 마스크를 쓰고 전반적으로 잘 대응되는 느낌이라 좋았습니다,체크,1,561
좀 더 관리에 주의를 기울여 주시면 더더욱 좋을 듯 싶습니다,체크,0,561
발렛은 주차비용이 따로 드네요,체크,0,573
나중에는 제주도도 가 고 싶어요,체크,1,577
발렛 주차가 아니면 불편합니다,체크,0,578
굳이 이야기 할 필요는 없는 숙소입니다,체크,0,579
예약 시 3인 투숙 예정이라 간이 침대 요청했는데 사 전 공지 없이 침대 이용자가 많아 제공할 수 없다고 체크인 시 얘기해줬어요,체크,0,581
3인 금액 차지하고 어 메너티도 2인만 세팅되어 있었구요,체크,0,581
성수기였다지만 금액대나 호텔 등급 수준에 맡게 세심한 서비스가 필요하지 않을까 싶네요,체크,0,581
토요일 투숙은 차량 접근이 너무 힘듭니다,체크,0,584
