0,1,2
29,2,체크인 할 때부터 매우 만족스러웠습니다
29,2,추가로 요청했던 사항들을 세심하게 챙겨주셨고요 덕분에 멋진 야경을 감상할 수 있었습니다
29,4,침구 정리도 잘 되어 있었고 청소도 깔끔하게 해놓으셨더라고요 타월도 욕실에 넉넉하게 준비되어 있었고 무료로 준비해주신 생수가 많아 물 걱정은 덜었습니다
29,2,체크아웃 할 때도 친절하게 주차 확인까지 해주셨고요 조만간 또 방문 하고 싶네요
30,12,신라호텔 명성답게 분위기 서비스 모두 만족했습니다
30,0,특히 1층 로비에 계신 직원 분들 정말 친절했고 이그제큐티비룸 이용했는데 해피 아워 좋았어요
30,0,음식음 모두 신라가 좋다고 했지만 워커힐 음식이 전 더 좋더라구 요 무튼 모두 만족
31,14,직원들 태도 역시 5 성급입니다
31,14,입구 부터 친절하게 안내해주셨어요
31,7,룸 깨끗하고 쾌적하고 사우나 이용도 편하게 했습니다 며칠 더 묵 고 싶을 정도입니다
31,9,방 크기는 살짝 작지만 그래도 두 명 묵기에는 부족함이 없습니다
32,5,저렴하게 엄마 친구 분들 보내드렸는데 좋아하셔서 기 분 좋았네요
32,15,항상 이용해요
33,0,깨끗하고 서비스도 좋고 정말 정말 감동적인 라운지 해피 아워 ㅎ
34,14,신라호텔 서비스는 호캉스에 하기에 최고입니다
34,14,또 가고 싶고 감동입니다
35,15,라운지를 사용하면 따로 준비할 것이 크게 줄어 좋습니다
36,15,다만 평일 내 아이들이 실내 수영장 이용이 불가한 점 미리 고지가 되었으면 좋겠습니다
37,12,가장 만족스러운 호텔이에요
37,9,전망이 좋습니다
38,2,말이 필요 없음
40,1,국내 5성급 호텔 중 사실상 탑 3 안에는 무조건 들어가는 호텔 이 곳의 진가는 이그제큐티브를 이용할 때 여실히 나타납니다
41,12,신라호텔 서비스와 시설 모두 아주 만족스러웠습니다
42,3,발렛까지 한다면 정말 최고 였겠지만 발렛비를 아껴야 한다면 주차장이 조금 협소하니 참고
43,1,1박이라 아쉽지만 너무 좋은 호텔에서 지 내다 올 수 있었습니다
44,5,휴식을 위해서라면 언제든지 추천해 줄 수 있는 호텔입니다
44,0,이그제큐티브 라운지 구성이 매우 좋습니다
46,5,결혼식 후 신혼여행 떠나기 전 하룻밤 이용했음
46,12,전반적으로 좋았으나 가격이 좀 비싸게 느껴졌음
47,15,라운지 이용을 할 수 있어서 좋은 점도 있지만 사람이 너무 많아 번 잡스러운 경우가 많아서 아쉽기도 합니다
48,1,호텔 투숙하면서 호텔에서 저녁을 먹고 싶지만 예약도 너무 어려워 요 투숙객에 혜택을 주면 좋을 거 같아요
49,12,언제나 기 분 좋은 곳 부담스럽지 않고 좋습니다
49,9,다 만 저녁 예약이 어렵다는 게 단점이라면 단점입니다
50,14,직원 분들이 너무 친절하셔서 감사했습니다
51,14,신라만의 친절함이 좋네요
51,10,자쿠지도 따뜻하구요
52,5,오랫만에 호캉스를 위해 신라호텔을 이용했습니다
52,7,역시나 침구류는 생각했던 것들보다 너무 편안했고 서비스와 조식 너무 너무 완벽했습니다
52,0,다음에 조식만 먹으러 도 꼭 가보고 싶네요
52,5,덕분에 즐거운 호캉스 보냈습니다
53,5,지난번에도 왔을 때 만족했지만 이번 이그제큐티브 라운지 이용은 명절 때 최고의 선택이었어요
53,12,아주 만족합니다
54,3,주차장은 끔 직함
55,3,최고라는 가격은 기름값도 있구 그런데 주차는 정말 최악 발에서는 회당 2만원 호텔비 나온 다 주차장은 항상 가득 찬 있고 조식은 한 5만원 정도 있나 6만원이였나 저금 비쌈
56,15,음식이나 룸 상태 사우나 모두 좋음
56,2,근데 사우나 회원인지 투숙객한테 좀 갑질 비슷한 을 해서 기분이 좀 상함
57,12,심플하고 아늑한 컨셉의 인테리어 친절한 직원 분들 편한 체크인과 체크아웃 자랑할 만한 조식 그럼에도 아고 다를 통한 괜찮은 가격의 숙소 예약 가능 모 구 괜찮았네요
57,4,아 끝내주는 베딩 세트
58,15,겨울에 가서 저렴한 가격으로 이그제큐티브 라운지 이용했어요
58,12,가성비 좋았어요
58,12,룸도 업그레이드 해 주시고 남산뷰 최고였습니다
58,15,또 애프터눈티 저녁 조식 브런치 수영장 너무 알 찼어요
58,1,특별한 날에 가기에 최고입니다
59,12,릴렉스하게 쉬기에는 신라호텔이 최고인 듯 아주 잘 보내다 왔습니다
60,15,클럽 라운지 이용하면서 기념일 보냈는데 만족해요 ㅎ
60,1,언제나 신라만 찾는 듯 ㅎ 약간의 아쉬운 점은 오랜 명성 만큼 룸도 오래 됬다는 ㅎ 전혀 불폄함 없고 넘 좋았어요
61,14,룸도 깨끗하고 직원들도 친절하고 좋아요
61,2,조금 일찍 도 착 하였는데 바로 체크인 했어요
61,12,조식도 맛있고 만족스러운 여행 이었습니다
62,12,신라를 자주 이용합니다
62,0,다 좋은데 딱 한 가지 아쉬운 건 식사를 하기가 너무 어렵다는 겁니다
62,5,예약하기가 너무 어려워 요 투숙자에겐 편하게 이용할 수 있게 해주셔야 하는 게 아닌가 싶은 생각이 듭니다
62,1,호텔에서 한 번에 모든 걸 해결할 수 있었으면 좋겠습니다
63,12,가격 대비 비싼 느낌이고 시설은 낡았지만 공기청정기 등 있을 거 다 있고 아메니티도 유자 향나는 에 이솝임 직원들이 미친 듯이 친절함
63,1,작은 료칸이지만 운 치나 음식 서비스는 5성급받을 만 함 컨셉도 유자라서 료칸에 유자가 쌓여 있음ㅋ
63,0,가이세키 료리 코스요리로 나오는데 두 세점 나왔던 고기 요리가 예술임
64,12,모두 만족 스러웠으나
64,0,아침 조식 이용이 매우 불편 했음
64,1,한국 호텔을 처음
64,15,사용 해서 잘 모르겠으나 조식 이용 때 줄 서서 기다린 다는 게 이해 하기 힘듬
65,0,저녁 아침 점심 잘 먹고 갑니다
65,0,메뉴는 많지 않지만 딱 맛있게 매끼 다양한 식사라 좋았습니다
66,7,편안하게 이용하고 있습니다
67,7,늘 편안하게 이용합니다
68,5,그냥 가보세요
68,5,호캉스로 딱입니다
69,14,호텔 셔틀버스부터 직원 분들의 친절함이 기 분 좋은 호텔입니다
70,0,서비스 면에서도 탁월했고 라운지 음식도 타 호텔 대비 좋은 구성 이었습니다
71,1,남산이 바로 보이는 뷰가 좋은 호텔
72,1,그냥 완벽하네요
72,3,다만 들어갈 때 계단이 좀 높았고 올라가서도 인도가 제대로 없어서 계속 차를 피해 다녀야 했어요
72,13,짧은 거리지만 셔틀 탈 걸 그랬어요
72,15,그리고 수영장에 자쿠지가 어딘지 찾기 힘들게 돼 있네요
72,5,있는 줄도 모르고 이용을 못했는데 나중에 알게 돼서 약간 아쉽네요
72,1,근데 뭐 이런 건 사소한 점이고 총평은 이용해본 호텔 중에 최고였다는 거예요
73,0,아침에 덜 먹은 파크뷰의 딤섬이 아른 거려요
73,12,밤에 조금 춥긴 했는데 시설은 정말 좋았어요
74,14,하루 쉬었는데 직원들 태도 조식 사우나 매우 좋아요
75,7,방이 깔끔하고 아늑했어요
75,14,또 라운지 이용할 때 직원 분들이 너무 친절하셨고 음식도 너무너 무너무 맛있어서 행복했어요
75,5,좋은 추억 남기고 갑니다 ㅎㅎ
76,14,모든 직원이 너무 친절했고 아침 조식이 정말 맛있습니다
77,1,사정 있어 묵게 되언 지만 신라는 신라
78,3,주차가 면세 이용객 때문에 너무 불편해 요 타워 주차장에서 서비스카 정문까지 이용하란 얘긴 들었는데 상주 직원이 별도로 없어서 매우 힘들었어요
78,0,그것만 빼면 다른 건 전부 별 다섯 개가 아깝지 않습니다 라운지 음식도 다 맛있구용
79,12,가격이 조금 비싼 편이지만 가격 값을 하는 곳이네요
80,3,우리나라 최고의 호텔 중의 하나인데 전반적으로는 좋았고 아주 작은 것들이 아쉬웠습니다 한 가지 주차요원의 안내는 정말 많이 아쉬웠네요
80,10,한번 더 점검해 보셔야 할 것 같습니다
81,14,신라호텔의 친절은 부담스럽지 않고 기 분 좋게 해주는 거 같아요
82,0,4끼 사육당하다가 왔네요
82,9,저희는 모서리 방으로 업그레이드 시켜줘서 창문 두 개를 끼고 영빈관이랑 시네뷰 두 뷰를 볼 수 있었어요
82,0,조식이 저녁 뷔페만큼 괜찮았어요
82,9,단점으로는 스크린 미러링으로 영화를 보려 했지만 객식 내 티비가 삼성 티비 2013년식이라 최신 핸드폰 8 이후 모델 으로는 미러링이 불가합니다
82,2,혹시 하실 분들은 참고하세요
82,9,후에 티비가 최신형으로 교체됐 으면 하네요
83,16,룸 입장 뒤 3번의 문의 스낵 바라고 하나 어째 끈 거기에 먼지 대박 문 고정장치 파손되어 있고 욕실 문이 닫기지 않음
83,10,결국 룸 변경 룸 사이즈업 글을 해주었지만 좀 개운하지 않음 이동한 룸도 블라인드가 처음에만 조작되고 더 작동하지 않음
83,3,룸 내부에 여기저기 상처가 ㅠㅠ 다른 곳에서는 위에 나열한 것들이 눈에 보이지 않았는 뎅 로비에서도 주차등록해줬다고 했지만 출차시 등록되어 있지 않음
83,2,투숙했던 룸 넘버와 이름을 이야기해서 출차함 ㅠㅠ 이런 이야기 하는 것도
84,5,3살배기와 휴식을 위해 갔었어요
84,1,휴일이라 사람 많았지만 숙소가 워낙 깨끗하고 서비스가 좋았습니다
84,15,수영장은 작지만 아이랑 놀기엔 괜찮았고 부대시설이 많진 않았지만 여름에 가면 바깥 수영장도 이용 가능하니 괜찮을 듯 합니다
84,15,식당은 인기가 많아 숙박 전 예약하지 않음 이용하기 힘들 것 같고요 라이브러리 애프터눈티와 파크뷰 점심 이용했는데 괜찮았어요
84,8,무엇보다 방 상태가 좋았습니다
84,9,작지만 규모 있는 구조예요
85,1,5성급 호텔인데 당연히 좋았죠
85,7,정말 깨끗하고 정갈하고 뷰도 좋았고 특히 정말 조용해서 잠도 잘 잤습니다
85,15,그런데 아고 다로 예약했단 이 유 로 수영장은 사용 못한다고 하시더라구요
85,2,한 사람당 6만원씩 추가하고 이용해야 한다나 예약할 때 그런 내용 없었다고 컴플레인했음
85,2,남편이 외국인이라 영어로 외국인한테는 왠만 해서는 컴플레인 없이 처리하고 싶었겠지요
85,2,담당 매니저 분 또 그 위에 분하고 얘기 나누고 들어가게 됐습니다
85,2,다음번 부턴 옵션사항 잘 확인하고 이용해달라고 여튼 이용은 해서 좋았지만 다시 아고다 페이지 확인해도 아무런 숙지사항이 없었네요
85,1,여전히 의문점이 전체적으로 서울에서 묵어 본 호텔 중 베스트이며 조식도 정말 비싸지만 후회 없는 선택이었습니다
86,1,역시나 신라호텔 이름에 걸 맞게 모든 시설이 훌륭했습니다
86,15,더 파크뷰에서 한 식사도 훌륭했고 수영장 사우나 모든 게 좋았습니다
86,2,다만 체크아웃 당일 오전 10시 즈음 느닷없이 화재 경보가 울려서 저와 와이프 모두 가운 만 입고 뛰쳐 나가는 일이 발생했습니다
86,2,나가보니 직원 분이 너무 덤덤히 소방 점검 중이라고 하시더라구요 ㅠㅠ 소방점검이 야 당연히 하셔 야 되는 거니까 그렇다 쳐도 미리 공지라도 해주셨으면 좋을 뻔했습니다
86,2,체크아웃 때 컴플레인을 하긴 했지만 그 때 놀란 가슴이 아직도 생생 하네요
87,0,이그제큐티브룸에서 2박3일을 보냈다 라운지 혜택으로 조식 애프터눈티 칵테일 아워 등을 이용했는데 라운지 음식 퀄리티가 다른 호텔과 비교도 안 될 정도로 뛰어났다
87,14,직원들도 대체적으로 서비스 마인드가 좋다
87,14,역시 삼성 계열이라 직원 교육에도 공을 들인 것 같다
87,1,룸레잇이 비싸 특별한 날에만 가끔 올 수 있을 것 같지만 특별한 날 꼭 다시 묵 고 싶은 호텔 이다
88,13,서울시내가 잘 보임 시내와 근거리
89,5,지난 8일 화요일 18층에 투숙하였습니다
89,2,벨 도어 택시를 이용해서 신라호텔에 방문하였는데 짐 관련한 핸들링이 전혀 없었습니다
89,2,핸드 캐리하는 가방 하나 였으나 부피가 큰 가방이었음에도 도움이 필요한지 묻는 멘트가 없었으며 택시 하차 시 체크인을 확인 하는 멘트가 없었습니다
89,2,체크인 후 역시 짐 케어는 없었으며 객실 내의 안내를 받지 못해 아쉬웠습니다
89,2,프런트 1층 리셉션에 방문하니 23층 라운지에서 체크인 가능하다는 안내를 받았습니다
89,3,엘리베이터 위치를 함께 안내 해 주셨더라면 헤매지 않고 엘리베이서 탑승을 했을 겁니다
89,2,또한 23층 체크인을 안내하며 짐에 대한 도움이 필요한지 한 번 더 물어보는 센스가 있었다면 좋았을 것 입니다
89,2,또한 예약 시점부터 공기청정기를 요청하였는데 타 브랜드 경우 입 실 전에 셋팅이 되어 있던데 신라의 경우 입 실 후에 준비를 해 주어 아쉬웠습니다
89,8,객실 관리 정말 최악이었습니다
89,2,입실 후 라운지를 이용하기 위해 복도를 지나가는데 직원 2 3분이 고객 동선에 카트를 두고 물건을 정리하시는지 눈이 마주치고도 길을 비켜주시지 않았습니다
89,8,여사님은 아니었습니다
89,2,심지어 간단한 목례도 없었을 뿐더러 복도를 막고 있는 것에 대한 어떠 한 양해의 멘트도 없었고 오히려 제가 양해를 구하고 나서야 지나 갈 수 있었습니다
89,0,23층 라운지 해피 아워 이용 중 캔 콜라를 치 우려는 직원분의 태도에 조금 놀랐습니다
89,0,실례한다는 말도 없이 식사하고 있는 테이블로 와 캔을 흔들어보고 음료가 있으니 그냥 가셨습니다
89,14,차라리 다 마셨는지 물어본 다 던가 치워도 되는지 묻는 것이 호텔리어 다운 모습이 아닐까요
90,5,신행 전날 이용하였어요
90,2,룸 체인지 두 번이나 했어요
90,8,냄새나는 방을 주셔서
90,2,그리고 업그레이드 받았어요
90,14,서비스 좋았습니다
90,0,영빈관 뷰도 좋아요
91,2,설 당일에 갔는데 사람이 너무 많은 게 아쉬웠어요
91,0,식당도 수영장도 조식은 식당에 자리 없어서 카페 라운지에 쪽에서 먹었습니다
91,5,연휴 이니 어쩔 수 없겠지요
91,12,그 외에는 항상 그렇듯 만족합니다
92,6,12개월 아기랑 쉬기 좋았어요
93,1,서울에서 다시 호텔을 간다면 신라호텔을 가고 싶어요
94,12,여러 가지로 만족스러웠습니다
94,0,할인을 좀 더 했으면 좋겠어요
95,7,170일 된 아기랑 함께 여행했는데 방도 넓고 깨끗하며 위치도 너무 좋았어요
95,5,생일 하루 지 났는데 서비스도 챙겨주셔서 감사합니다
95,15,수영장은 여태까지 가본 곳 중에 가장 깨끗한 수질과 경관을 자랑합니다
96,1,낡은 호텔 치고 비싸네요
96,12,똑같이 낡았을 바엔 조선호텔이 가격 면에서 메리트 같아요
97,13,명동이랑 인접해서 좋은데 차 없으면 힘들듯합니다
97,3,눈오거나 비올 때 주차하고 호텔로 들어가기 애매 합니다
97,13,연결도 없고 그냥 짐 들고 올라가야 하니까요
97,0,조식은 다양하지 않은 듯 합니다
97,7,객실 분위기는 좋습니다
98,1,공홈에서 직접 예약하는 것 보다 혜택은 적었지만 당연한 것이 죠 서비스가 정말 훌륭했습니다
98,0,조식은 말 할 것도 없고요
98,14,원하는 대로 모두 맞춰 주셔서 정말 감사합니다
99,5,서울 출장엔 무조건 신라호텔 입니다
99,14,직원들도 언제나 기 분 좋게 만드는 거 같아요
100,5,일에 치여 살다가 도심 속에서 휴가를 즐겼습니다
100,7,막 화려하진 않아도 고급스러움이 있었고 남산뷰가 힐링이 되었습니다
100,0,이그제큐티브 라운지 음식도 퀄리티 좋았고 스테이크는 식어도 부드럽고 라운지 내의 야경도 예뻤습니다
100,8,다 만 룸에 먼지가 조금 많아 공기청정기 요청했더니 바로 준비해 주었습니다
101,7,약간 거리가 있어서 찾아오기 힘들지만 침대 편하고 야경 좋고 방도 깔끔하고 좋았어요
103,0,조식이 신선하지 않고 너무 양념이 많이 들어가서 많이 먹을 수 없었다
103,14,직원들은 친절하다기보다 사무적이었다
103,6,침대는 푹신하고 좋았다
103,15,산책로가 잘 되어 있다
103,1,호텔 내에 행사가 있어서 혼잡했다
104,12,신라호텔로 호캉스 갈 생각에 여기저기 비교해 보았는데 아고다가 타 사이트 대비 가장 저렴하여 이 곳으로 예약하게 됬습니다
104,15,극성수기 기가에 가서 그런지 어반 아일랜드 야외 수영장 은 비 포함 이였지만 실 내 수영장 및 사우나는 포함이라 만족스럽게 즐기다 왔습니다
105,5,신라호텔에 숙박하기 위해 먼 길 간 것이 아깝지 않을 만큼 좋았어요
105,7,특히 침구는 두말하면 입 아프죠
105,6,집에 갈 때 침대를 통째로 뜯어갈 뻔 했어요
105,6,어느 침구죠
105,0,어느 매트리스죠 라운지에서 식사도 좋았어요
105,0,종류가 많은 건 아니였지만 음식 하나마다 맛이 좋았아요
105,5,담에는 하루만 있지 않을 거에요
106,14,직원 분들 매우 친절하셨어요
106,0,룸과 조식도 괜찮았고요
106,15,수영장은 락커실이 작은 것 빼고는 만족스러웠습니다
107,15,라운지 못 사는 건 이 해 합니다
107,15,수영장도 안 되요 초등생은 방에만 있거나 유료로 야외 수영장 가라고 하네요
107,15,롯데시그니엘은 라운지 이용 못하면 롯데월드라도 가라고 자유 이용권 주더군 요 삼성보다 롯데가 훨 현실적이네요
109,2,잘 확인했어야 하는 건데
109,15,여름에 신라에 수영장 아니면 할 게 없어요 ㅠㅠ
111,14,직원들의 서비스 마인드가 프로페셔널 하고 객실 상태나 부대 시설 등도 고급스럽고 좋아요
111,0,특히 더 파크뷰 조식은 음식 하나하나가 많이 신경 쓴 듯하고 너무 맛있어요
111,1,다음에 또 오고 싶은 최고의 호텔이에요
112,13,대중교통을 타고 접근하기엔 살짝 번거럽고 자차를 끌고 가면 발랫은 2만5000원 아니면 좀 걸어서 주차장에 대야 하는데 일 때문에 온 거라 짐이 많아서 발랫을 사용했는데 발랫비가 좀 과한 느낌 그 거 말고 숙소나 직원 조식 다 훌륭했어요
113,1,지금까지 여러 호텔을 가봤지만 신라호텔은 정말 최고였습니다
113,14,모든 직원들이 굉장히 프로페셔널하고 특히 23층에서 체크인 해주시는 직원 분들 너무너무 친절하여 제대로 대접받는 느낌을 받았습니다
115,3,주차장이 다소 멀었고 발렛 비용이 비쌌지만 나머지는 모두 만족합니다
115,14,직원들 응대 너무 친절하네요
116,15,야외 수영장인 어반 아일랜드는 불 포함되어 있는 줄 모르고 구매했다가 호텔에서 이용할 때 알아서 추가로 지불했네요 ㅠㅠ
